speaker_id	speaker
T1_GP1	{"gender": "f", "age": "16", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "apprenticeship daycare", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T1_GP2	{"gender": "f", "age": "16", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "high school", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T2_GP1	{"gender": "m", "age": "18", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "apprenticeship", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T2_GP3	{"gender": "m", "age": "18", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "apprenticeship", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T3_GP1	{"gender": "f", "age": "18", "residence": "Uetendorf", "living_in_bern_since": "10 years", "nationality": "", "education": "high school", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T3_GP2	{"gender": "f", "age": "17", "residence": "Thun", "living_in_bern_since": "", "nationality": "", "education": "high school", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T4_GP1	{"gender": "m", "age": "16", "residence": "Bern", "living_in_bern_since": "", "nationality": "", "education": "high school", "parents_origin": "Thurgau, Schaffhausen", "parents_mother_tongue": "Deutsch/Italienisch", "notes": ""}
T4_GP2	{"gender": "m", "age": "17", "residence": "Bern", "living_in_bern_since": "", "nationality": "", "education": "high school", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T5_GP1	{"gender": "f", "age": "20", "residence": "Langnau i.E.", "living_in_bern_since": "", "nationality": "", "education": "retail specialist", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T5_GP2	{"gender": "f", "age": "20", "residence": "Langnau i.E. (Trub)", "living_in_bern_since": "", "nationality": "", "education": "apprenticeship", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T6_GP1	{"gender": "f", "age": "15", "residence": "Bern Bümpliz", "living_in_bern_since": "", "nationality": "", "education": "secondary school", "parents_origin": "", "parents_mother_tongue": "", "notes": "Cheerleading team"}
T6_GP2	{"gender": "f", "age": "15", "residence": "Muri bei Bern", "living_in_bern_since": "", "nationality": "", "education": "high school", "parents_origin": "", "parents_mother_tongue": "", "notes": "Cheerleading team"}
T7_GP1	{"gender": "m", "age": "12", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": "Fifa 19 Game"}
T7_GP2	{"gender": "m", "age": "12", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": "Fifa 19 Game"}
T8_GP1	{"gender": "f", "age": "19", "residence": "Belp ", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T8_GP2	{"gender": "f", "age": "20", "residence": "Steffisburg", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T9_GP1	{"gender": "f", "age": "21", "residence": "Bern", "living_in_bern_since": "", "nationality": "", "education": "high school diploma, internship fKS", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T9_GP2	{"gender": "f", "age": "19", "residence": "Thun", "living_in_bern_since": "", "nationality": "", "education": "Vocational baccalaureate, internship fKS", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T10_GP1	{"gender": "f", "age": "19", "residence": "Bern", "living_in_bern_since": "", "nationality": "", "education": "high school", "parents_origin": "", "parents_mother_tongue": "", "notes": "sister of the interviewer: f,20 Davos and Bern"}
T10_GP2	{"gender": "m", "age": "19", "residence": "Thun", "living_in_bern_since": "", "nationality": "", "education": "high school", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T10_GP3	{"gender": "m", "age": "", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": "a friend"}
T12.1_GP1	{"gender": "f", "age": "13", "residence": "Horrenbach, Thun", "living_in_bern_since": "", "nationality": "", "education": "Secondary School", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T12.1_GP2	{"gender": "f", "age": "13", "residence": "Horrenbach, Thun", "living_in_bern_since": "", "nationality": "", "education": "Secondary School", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T12.2_GP1	{"gender": "f", "age": "13", "residence": "Horrenbach, Thun", "living_in_bern_since": "", "nationality": "", "education": "Secondary School", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T12.2_GP2	{"gender": "f", "age": "13", "residence": "Horrenbach, Thun", "living_in_bern_since": "", "nationality": "", "education": "Secondary School", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T12.3_GP1	{"gender": "f", "age": "13", "residence": "Horrenbach, Thun", "living_in_bern_since": "", "nationality": "", "education": "Secondary School", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T12.3_GP2	{"gender": "f", "age": "13", "residence": "Horrenbach, Thun", "living_in_bern_since": "", "nationality": "", "education": "Secondary School", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T13_GP1	{"gender": "m", "age": "18", "residence": "Adelboden, Bern", "living_in_bern_since": "", "nationality": "", "education": "Apprenticeship", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T13_GP2	{"gender": "f", "age": "19", "residence": "Bern", "living_in_bern_since": "", "nationality": "", "education": "Apprenticeship", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T13_GP3	{"gender": "f", "age": "19", "residence": "Lützenflüh, Bern", "living_in_bern_since": "", "nationality": "", "education": "Apprenticeship", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T14_GP1	{"gender": "f", "age": "17", "residence": "Bern", "living_in_bern_since": "", "nationality": "", "education": "High School", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T14_GP2	{"gender": "f", "age": "18", "residence": "Jegenstorf, Bern", "living_in_bern_since": "", "nationality": "", "education": "High School", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T14_GP3	{"gender": "f", "age": "18", "residence": "Bremgarten, Bern", "living_in_bern_since": "", "nationality": "", "education": "High School", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T15_GP1	{"gender": "f", "age": "20", "residence": "Spiegel, Bern", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T15_GP2	{"gender": "f", "age": "21", "residence": "Laupen, Bern", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T16_GP1	{"gender": "m", "age": "17", "residence": "Merligen, Bern", "living_in_bern_since": "", "nationality": "Swiss", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T16_GP2	{"gender": "m", "age": "17", "residence": "Merligen, Bern", "living_in_bern_since": "", "nationality": "Swiss", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T18_GP1	{"gender": "f", "age": "15", "residence": "Bern", "living_in_bern_since": "", "nationality": "", "education": "High School", "parents_origin": "F: Swiss, M: Marokko", "parents_mother_tongue": "F: German, M: French", "notes": ""}
T18_GP2	{"gender": "f", "age": "15", "residence": "Ostermundigen", "living_in_bern_since": "", "nationality": "", "education": "Secondary School", "parents_origin": "Nigeria", "parents_mother_tongue": "", "notes": ""}
T19_GP1	{"gender": "m", "age": "15", "residence": "Münsingen, Bern", "living_in_bern_since": "", "nationality": "", "education": "Secondary School", "parents_origin": "Bosnia", "parents_mother_tongue": "Bosnisch", "notes": ""}
T19_GP2	{"gender": "m", "age": "14", "residence": "Münsingen, Bern", "living_in_bern_since": "", "nationality": "", "education": "Secondary School", "parents_origin": "Albanian", "parents_mother_tongue": "Albanian", "notes": ""}
T20_GP1	{"gender": "m", "age": "20", "residence": "Pieterlen,Bern", "living_in_bern_since": "", "nationality": "", "education": "Student", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T20_GP2	{"gender": "m", "age": "19", "residence": "Pieterlen,Bern", "living_in_bern_since": "", "nationality": "", "education": "Apprenticeship", "parents_origin": "", "parents_mother_tongue": "", "notes": "living in Basel since 2 months"}
T21	{"gender": "", "age": "", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T22	{"gender": "", "age": "", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T1_GP1_notes	{"gender": "", "age": "", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T1_GP2_notes	{"gender": "", "age": "", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T1_Interviewer	{"gender": "", "age": "", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T1_Interviewer_notes	{"gender": "", "age": "", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T1_Background_noises	{"gender": "", "age": "", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T2_Interviewerin	{"gender": "", "age": "", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T2_GP2	{"gender": "", "age": "", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
Background_noise	{"gender": "", "age": "", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
External_person	{"gender": "", "age": "", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T3_Interviewer	{"gender": "", "age": "", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T3_GP1_Mimesis	{"gender": "", "age": "", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T3_GP2_Mimesis	{"gender": "", "age": "", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T3_Hintergrundgeräusche	{"gender": "", "age": "", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T4_Interviewer	{"gender": "", "age": "", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T5_Interviewer	{"gender": "", "age": "", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
T5_Comments	{"gender": "", "age": "", "residence": "", "living_in_bern_since": "", "nationality": "", "education": "", "parents_origin": "", "parents_mother_tongue": "", "notes": ""}
